Column index,Features,Selected
42,"(2,6)",1
25,"(1,7)",1
24,"(1,6)",1
29,"(1,11)",1
30,"(1,12)",1
97,"(5,13)",1
20,"(1,2)",1
151,"(9,17)",1
93,"(5,9)",1
26,"(1,8)",1
43,"(2,7)",1
28,"(1,10)",1
10,"(0,11)",1
9,"(0,10)",1
44,"(2,8)",1
6,"(0,7)",1
185,"(13,17)",1
188,"(13,20)",1
1,"(0,2)",1
11,"(0,12)",1
206,"(17,20)",2
35,"(1,17)",3
51,"(2,15)",4
52,"(2,16)",5
36,"(1,18)",6
37,"(1,19)",7
56,"(2,20)",8
14,"(0,15)",9
187,"(13,19)",10
205,"(17,19)",11
153,"(9,19)",12
119,"(7,8)",13
106,"(6,8)",14
105,"(6,7)",15
15,"(0,16)",16
32,"(1,14)",17
54,"(2,18)",18
50,"(2,14)",19
202,"(16,19)",20
203,"(16,20)",21
33,"(1,15)",22
5,"(0,6)",23
59,"(3,6)",24
60,"(3,7)",25
154,"(9,20)",26
3,"(0,4)",27
22,"(1,4)",28
40,"(2,4)",29
68,"(3,15)",30
69,"(3,16)",31
7,"(0,8)",32
132,"(8,9)",33
136,"(8,13)",34
140,"(8,17)",35
128,"(7,17)",36
115,"(6,17)",37
124,"(7,13)",38
23,"(1,5)",39
41,"(2,5)",40
45,"(2,9)",41
58,"(3,5)",42
62,"(3,9)",43
67,"(3,14)",44
103,"(5,19)",45
104,"(5,20)",46
63,"(3,10)",47
102,"(5,18)",48
148,"(9,14)",49
158,"(10,14)",50
162,"(10,18)",51
18,"(0,19)",52
182,"(13,14)",53
157,"(10,13)",54
112,"(6,14)",55
109,"(6,11)",56
110,"(6,12)",57
27,"(1,9)",58
156,"(10,12)",59
155,"(10,11)",60
99,"(5,15)",61
190,"(14,16)",62
149,"(9,15)",63
150,"(9,16)",64
192,"(14,18)",65
83,"(4,14)",66
87,"(4,18)",67
72,"(3,19)",68
53,"(2,17)",69
73,"(3,20)",70
88,"(4,19)",71
207,"(18,19)",72
189,"(14,15)",73
100,"(5,16)",74
64,"(3,11)",75
65,"(3,12)",76
66,"(3,13)",77
17,"(0,18)",78
168,"(11,15)",79
172,"(11,19)",80
178,"(12,17)",81
166,"(11,13)",82
193,"(14,19)",83
144,"(9,10)",84
31,"(1,13)",85
133,"(8,10)",86
184,"(13,16)",87
70,"(3,17)",88
201,"(16,18)",89
2,"(0,3)",90
191,"(14,17)",91
21,"(1,3)",92
159,"(10,15)",93
118,"(6,20)",94
34,"(1,16)",95
173,"(11,20)",96
141,"(8,18)",97
138,"(8,15)",98
125,"(7,14)",99
47,"(2,11)",100
76,"(4,7)",101
77,"(4,8)",102
160,"(10,16)",103
134,"(8,11)",104
194,"(14,20)",105
209,"(19,20)",106
164,"(10,20)",107
163,"(10,19)",108
117,"(6,19)",109
61,"(3,8)",110
78,"(4,9)",111
120,"(7,9)",112
84,"(4,15)",113
4,"(0,5)",114
0,"(0,1)",115
19,"(0,20)",116
91,"(5,7)",117
16,"(0,17)",118
8,"(0,9)",119
92,"(5,8)",120
46,"(2,10)",121
131,"(7,20)",122
130,"(7,19)",123
126,"(7,15)",124
200,"(16,17)",125
196,"(15,17)",126
145,"(9,11)",127
39,"(2,3)",128
74,"(4,5)",129
98,"(5,14)",130
96,"(5,12)",131
152,"(9,18)",132
146,"(9,12)",133
161,"(10,17)",134
186,"(13,18)",135
174,"(12,13)",136
111,"(6,13)",137
176,"(12,15)",138
179,"(12,18)",139
175,"(12,14)",140
167,"(11,14)",141
90,"(5,6)",142
107,"(6,9)",143
13,"(0,14)",144
181,"(12,20)",145
137,"(8,14)",146
113,"(6,15)",147
165,"(11,12)",148
114,"(6,16)",149
169,"(11,16)",150
143,"(8,20)",151
79,"(4,10)",152
75,"(4,6)",153
180,"(12,19)",154
135,"(8,12)",155
12,"(0,13)",156
89,"(4,20)",157
147,"(9,13)",158
85,"(4,16)",159
197,"(15,18)",160
177,"(12,16)",161
208,"(18,20)",162
183,"(13,15)",163
95,"(5,11)",164
71,"(3,18)",165
49,"(2,13)",166
38,"(1,20)",167
55,"(2,19)",168
48,"(2,12)",169
82,"(4,13)",170
108,"(6,10)",171
57,"(3,4)",172
142,"(8,19)",173
127,"(7,16)",174
101,"(5,17)",175
129,"(7,18)",176
116,"(6,18)",177
94,"(5,10)",178
170,"(11,17)",179
171,"(11,18)",180
199,"(15,20)",181
80,"(4,11)",182
81,"(4,12)",183
195,"(15,16)",184
139,"(8,16)",185
122,"(7,11)",186
204,"(17,18)",187
86,"(4,17)",188
123,"(7,12)",189
198,"(15,19)",190
121,"(7,10)",191
